area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056.0,2.0,1.0,39.07,2,3699.810606060606
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600.0,5.0,3.0,120.0,4,4615.384615384615
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521.0,3.0,1.0,95.0,3,6245.890861275477
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170.0,2.0,1.0,38.0,2,3247.863247863248
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785.0,5.0,3.0,295.0,4,10592.45960502693
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000.0,2.0,1.0,38.0,2,3800.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250.0,3.0,2.0,148.0,3,6577.777777777777
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175.0,2.0,2.0,73.5,2,6255.31914893617
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180.0,3.0,2.0,48.0,3,4067.7966101694915
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540.0,3.0,3.0,60.0,3,3896.103896103896
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770.0,4.0,2.0,290.0,3,10469.314079422382
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755.0,3.0,1.0,122.0,3,6951.5669515669515
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800.0,5.0,2.0,380.0,4,13571.42857142857
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510.0,1.0,0.0,25.25,1,4950.980392156863
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660.0,1.0,1.0,23.1,2,3500.0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151.0,2.0,2.0,48.77,2,4237.185056472633
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025.0,2.0,1.0,47.0,3,4585.365853658536
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2475.0,4.0,0.0,186.0,4,7515.151515151515
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.0,3,3255.813953488372
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,123.0,3,6988.636363636364
